batch,Exp,Real,p1,p2,p3,p4,p5,p6
22-01,574.40,529.13,99.6,98.0,3.9,97.5,0.2,88.2
22-02,569.39,529.07,99.6,97.9,3.9,97.4,0.3,88.7
22-03,550.66,524.65,99.5,97.8,3.8,97.1,0.3,89.3
22-04,551.93,525.00,99.3,97.8,3.8,96.9,0.3,88.9
22-05,537.72,520.49,99.2,97.4,3.7,96.5,0.5,88.9
22-06,425.54,362.12,99.3,96.9,3.7,96.1,1.0,87.8
22-07,564.15,534.82,99.8,97.7,3.9,97.4,0.0,87.1
22-08,573.06,524.96,99.9,97.9,3.9,97.7,0.0,87.4
22-09,604.22,568.67,99.9,97.8,3.9,97.6,0.0,87.6
22-10,598.20,524.83,99.9,98.0,4.0,97.9,0.0,87.2
22-11,612.36,563.17,99.9,97.9,4.0,97.7,0.0,87.8
22-12,599.94,554.51,99.9,97.8,3.9,97.6,0.0,87.3
22-13,611.26,549.86,99.9,97.9,4.0,97.7,0.0,87.2
22-14,610.67,558.57,99.9,98.0,4.0,97.7,0.0,87.3
22-15,591.74,566.12,99.9,97.9,3.8,97.7,0.0,87.4
22-16,595.20,565.05,99.9,98.0,3.9,97.8,0.0,87.3
22-17,628.95,579.12,99.7,98.2,4.1,97.8,0.0,89.1
22-18,615.51,574.22,99.9,98.2,4.0,98.0,0.0,88.9
22-19,640.64,611.30,99.8,98.3,4.0,97.9,0.0,89.6
22-20,662.35,613.38,74.8,98.4,4.0,98.1,0.0,90.0
22-21,652.35,615.73,99.8,98.3,4.0,98.0,0.0,89.9
22-22,662.62,619.61,99.8,98.2,4.0,97.9,0.0,89.4
22-23,670.17,613.97,99.9,98.2,4.1,98.0,0.1,89.5
22-24,665.02,622.88,99.7,98.4,4.0,97.9,0.0,90.1
22-25,662.11,616.13,99.9,98.0,4.0,97.8,0.0,88.6
22-26,662.11,617.11,99.8,98.1,4.0,97.8,0.0,89.0
22-27,673.90,605.83,99.8,98.0,4.1,97.7,0.0,88.6
22-28,655.44,613.09,99.9,98.0,4.0,97.8,0.0,88.8
22-29,659.30,604.98,99.8,98.2,4.0,97.8,0.0,88.8
22-30,665.38,608.81,99.8,98.1,4.1,97.7,0.1,89.5
22-31,630.59,615.62,99.9,98.1,3.8,97.9,0.1,88.7
22-32,642.03,611.75,99.8,97.9,3.9,97.6,0.0,88.9
22-33,642.08,609.96,99.8,98.0,3.9,97.6,0.0,88.8
22-34,636.29,614.52,99.7,98.1,3.9,97.7,0.0,89.2
22-35,628.33,616.81,99.8,98.0,3.8,97.7,0.0,89.5
22-36,677.21,613.22,99.8,98.0,4.1,97.8,0.0,89.1
22-37,672.57,609.70,99.8,98.1,4.1,97.8,0.0,88.8
