Batch No.,공정명,작업실,시작,종료
1,a,R-1107,2021-01-09 11:00,2021-01-09 19:02
1,b,R-1107,2021-01-09 19:02,2021-01-10 09:03
2,a,R-1108,2021-01-10 13:30,2021-01-10 21:35
2,b,R-1108,2021-01-10 21:35,2021-01-11 10:30
3,a,R-1107,2021-01-11 21:19,2021-01-12 05:16
3,b,R-1107,2021-01-12 05:16,2021-01-12 19:51
4,a,R-1108,2021-01-12 14:00,2021-01-12 22:15
4,b,R-1108,2021-01-12 22:15,2021-01-13 14:30
5,a,R-1107,2021-01-13 11:00,2021-01-13 19:11
5,b,R-1107,2021-01-13 19:11,2021-01-14 10:18
6,a,R-1108,2021-01-14 09:00,2021-01-14 17:00
6,b,R-1108,2021-01-14 17:00,2021-01-15 08:00
7,a,R-1107,2021-01-15 12:20,2021-01-15 20:45
7,b,R-1107,2021-01-15 20:45,2021-01-16 10:05
8,a,R-1108,2021-01-16 09:00,2021-01-16 17:07
8,b,R-1108,2021-01-16 17:07,2021-01-17 06:05
9,a,R-1107,2021-01-17 09:00,2021-01-17 17:09
9,b,R-1107,2021-01-17 17:09,2021-01-18 08:15
10,a,R-1108,2021-01-18 17:00,2021-01-19 01:02
10,b,R-1108,2021-01-19 01:02,2021-01-19 15:00
11,a,R-1107,2021-01-19 10:30,2021-01-19 18:30
11,b,R-1107,2021-01-19 18:30,2021-01-20 08:50
12,a,R-1108,2021-01-20 08:00,2021-01-20 15:50
12,b,R-1108,2021-01-20 15:50,2021-01-21 08:50
13,a,R-1107,2021-01-21 18:30,2021-01-22 02:25
13,b,R-1107,2021-01-22 02:25,2021-01-22 16:00
14,a,R-1108,2021-01-22 19:01,2021-01-23 03:02
14,b,R-1108,2021-01-23 03:02,2021-01-23 16:41
15,a,R-1107,2021-01-23 21:10,2021-01-24 05:12
15,b,R-1107,2021-01-24 05:12,2021-01-24 19:00
16,a,R-1108,2021-01-24 17:00,2021-01-25 00:55
16,b,R-1108,2021-01-25 00:55,2021-01-25 15:00
17,a,R-1107,2021-01-25 19:01,2021-01-26 03:03
17,b,R-1107,2021-01-26 03:03,2021-01-26 17:55
18,a,R-1108,2021-01-27 02:30,2021-01-27 10:30
18,b,R-1108,2021-01-27 10:30,2021-01-28 00:05
19,a,R-1107,2021-01-28 08:00,2021-01-28 15:52
19,b,R-1107,2021-01-28 15:52,2021-01-29 05:13
20,a,R-1108,2021-01-29 08:00,2021-01-29 16:00
20,b,R-1108,2021-01-29 16:00,2021-01-30 05:50
21,a,R-1107,2021-01-30 15:20,2021-01-30 23:31
21,b,R-1107,2021-01-30 23:31,2021-01-31 13:50
22,a,R-1108,2021-01-31 05:40,2021-01-31 13:40
22,b,R-1108,2021-01-31 13:40,2021-02-01 03:00
23,a,R-1107,2021-02-01 07:00,2021-02-01 15:21
23,b,R-1107,2021-02-01 15:21,2021-02-02 05:50
24,a,R-1108,2021-02-02 09:00,2021-02-02 17:01
24,b,R-1108,2021-02-02 17:01,2021-02-03 06:05
25,a,R-1107,2021-02-03 06:20,2021-02-03 14:21
25,b,R-1107,2021-02-03 14:21,2021-02-04 04:00
26,a,R-1108,2021-02-04 09:00,2021-02-04 16:56
26,b,R-1108,2021-02-04 16:56,2021-02-05 08:00
27,a,R-1107,2021-02-05 04:14,2021-02-05 12:00
27,b,R-1107,2021-02-05 12:00,2021-02-06 01:00
28,a,R-1108,2021-02-06 03:00,2021-02-06 11:00
28,b,R-1108,2021-02-06 11:00,2021-02-07 00:10
29,a,R-1107,2021-02-07 06:00,2021-02-07 14:01
29,b,R-1107,2021-02-07 14:01,2021-02-08 03:23
30,a,R-1108,2021-02-08 11:01,2021-02-08 19:01
30,b,R-1108,2021-02-08 19:01,2021-02-09 09:00
31,a,R-1107,2021-02-09 21:30,2021-02-10 05:35
31,b,R-1107,2021-02-10 05:35,2021-02-10 20:50
32,a,R-1108,2021-02-10 14:30,2021-02-10 22:35
32,b,R-1108,2021-02-10 22:35,2021-02-11 11:57
33,a,R-1107,2021-02-11 14:00,2021-02-11 22:10
33,b,R-1107,2021-02-11 22:10,2021-02-12 12:20
34,a,R-1108,2021-02-12 08:20,2021-02-12 16:25
34,b,R-1108,2021-02-12 16:25,2021-02-13 09:05
35,a,R-1107,2021-02-13 15:20,2021-02-13 23:21
35,b,R-1107,2021-02-13 23:21,2021-02-14 13:35
36,a,R-1108,2021-02-14 13:00,2021-02-14 21:15
36,b,R-1108,2021-02-14 21:15,2021-02-15 11:40
37,a,R-1107,2021-02-15 13:10,2021-02-15 21:20
37,b,R-1107,2021-02-15 21:20,2021-02-16 10:20
38,a,R-1108,2021-02-16 10:40,2021-02-16 18:55
38,b,R-1108,2021-02-16 18:55,2021-02-17 08:25
39,a,R-1107,2021-02-17 18:25,2021-02-18 02:27
39,b,R-1107,2021-02-18 02:27,2021-02-18 16:54
40,a,R-1108,2021-02-18 18:10,2021-02-19 02:07
40,b,R-1108,2021-02-19 02:07,2021-02-19 16:00
41,a,R-1107,2021-02-19 20:05,2021-02-20 04:00
41,b,R-1107,2021-02-20 04:00,2021-02-20 19:08
42,a,R-1108,2021-02-21 02:30,2021-02-21 10:30
42,b,R-1108,2021-02-21 10:30,2021-02-22 00:35
43,a,R-1107,2021-02-22 04:00,2021-02-22 12:07
43,b,R-1107,2021-02-22 12:07,2021-02-23 01:25
44,a,R-1108,2021-02-23 05:30,2021-02-23 13:25
44,b,R-1108,2021-02-23 13:25,2021-02-24 02:50
45,a,R-1107,2021-02-24 09:00,2021-02-24 17:01
45,b,R-1107,2021-02-24 17:01,2021-02-25 08:00
46,a,R-1108,2021-02-25 06:00,2021-02-25 14:18
46,b,R-1108,2021-02-25 14:18,2021-02-26 03:58
47,a,R-1107,2021-02-26 11:30,2021-02-26 19:35
47,b,R-1107,2021-02-26 19:35,2021-02-27 10:50
48,a,R-1108,2021-02-27 09:00,2021-02-27 17:01
48,b,R-1108,2021-02-27 17:01,2021-02-28 06:40
49,a,R-1107,2021-02-28 11:00,2021-02-28 19:01
49,b,R-1107,2021-02-28 19:01,2021-03-01 08:38
50,a,R-1108,2021-03-02 02:30,2021-03-02 10:22
50,b,R-1108,2021-03-02 10:22,2021-03-03 00:45
51,a,R-1107,2021-03-03 07:30,2021-03-03 15:30
51,b,R-1107,2021-03-03 15:30,2021-03-04 05:13
52,a,R-1108,2021-03-03 21:30,2021-03-04 05:26
52,b,R-1108,2021-03-04 05:26,2021-03-04 20:00
53,a,R-1107,2021-03-05 07:20,2021-03-05 15:25
53,b,R-1107,2021-03-05 15:25,2021-03-06 06:00
54,a,R-1108,2021-03-06 00:00,2021-03-06 08:01
54,b,R-1108,2021-03-06 08:01,2021-03-06 22:10
55,a,R-1107,2021-03-06 23:00,2021-03-07 07:20
55,b,R-1107,2021-03-07 07:20,2021-03-07 21:13
56,a,R-1108,2021-03-07 23:00,2021-03-08 07:21
56,b,R-1108,2021-03-08 07:21,2021-03-09 03:10
57,a,R-1107,2021-03-09 11:00,2021-03-09 19:00
57,b,R-1107,2021-03-09 19:00,2021-03-10 09:15
58,a,R-1108,2021-03-09 20:00,2021-03-10 04:03
58,b,R-1108,2021-03-10 04:03,2021-03-10 18:50
59,a,R-1107,2021-03-11 04:30,2021-03-11 12:20
59,b,R-1107,2021-03-11 12:20,2021-03-12 02:45
60,a,R-1108,2021-03-12 05:30,2021-03-12 13:35
60,b,R-1108,2021-03-12 13:35,2021-03-13 03:40
61,a,R-1107,2021-03-13 00:30,2021-03-13 08:22
61,b,R-1107,2021-03-13 08:22,2021-03-13 21:55
62,a,R-1108,2021-03-14 02:30,2021-03-14 10:30
62,b,R-1108,2021-03-14 10:30,2021-03-15 00:00
63,a,R-1107,2021-03-15 02:30,2021-03-15 10:27
63,b,R-1107,2021-03-15 10:27,2021-03-16 01:00
64,a,R-1108,2021-03-16 00:00,2021-03-16 08:02
64,b,R-1108,2021-03-16 08:02,2021-03-16 21:00
65,a,R-1107,2021-03-17 03:10,2021-03-17 11:11
65,b,R-1107,2021-03-17 11:11,2021-03-18 01:30
66,a,R-1108,2021-03-18 03:00,2021-03-18 11:10
66,b,R-1108,2021-03-18 11:10,2021-03-19 01:35
67,a,R-1107,2021-03-19 05:15,2021-03-19 13:11
67,b,R-1107,2021-03-19 13:11,2021-03-20 03:15
68,a,R-1108,2021-03-20 03:00,2021-03-20 11:01
68,b,R-1108,2021-03-20 11:01,2021-03-21 01:20
69,a,R-1107,2021-03-21 22:40,2021-03-22 06:44
70,a,R-1108,2021-03-22 02:30,2021-03-22 10:27
69,b,R-1107,2021-03-22 06:44,2021-03-22 21:50
70,b,R-1108,2021-03-22 10:27,2021-03-23 00:05
71,a,R-1107,2021-03-23 22:00,2021-03-24 06:10
72,a,R-1108,2021-03-24 02:30,2021-03-24 10:30
71,b,R-1107,2021-03-24 06:10,2021-03-24 19:53
72,b,R-1108,2021-03-24 10:30,2021-03-25 00:50
73,a,R-1107,2021-03-25 11:45,2021-03-25 20:00
73,b,R-1107,2021-03-25 20:00,2021-03-26 10:50
74,a,R-1108,2021-03-26 03:30,2021-03-26 11:30
74,b,R-1108,2021-03-26 11:30,2021-03-27 02:50
75,a,R-1107,2021-03-27 08:15,2021-03-27 16:15
75,b,R-1107,2021-03-27 16:15,2021-03-28 05:35
76,a,R-1108,2021-03-28 05:30,2021-03-28 13:30
76,b,R-1108,2021-03-28 13:30,2021-03-29 03:40
77,a,R-1107,2021-03-29 09:30,2021-03-29 17:21
77,b,R-1107,2021-03-29 17:21,2021-03-30 08:50
78,a,R-1108,2021-03-29 22:59,2021-03-30 07:05
78,b,R-1108,2021-03-30 07:05,2021-03-30 20:45
79,a,R-1107,2021-03-31 03:00,2021-03-31 11:00
79,b,R-1107,2021-03-31 11:00,2021-04-01 01:30
80,a,R-1108,2021-04-01 20:15,2021-04-02 04:01
80,b,R-1108,2021-04-02 04:01,2021-04-02 18:32
81,a,R-1107,2021-04-02 16:45,2021-04-03 00:30
81,b,R-1107,2021-04-03 00:30,2021-04-03 14:00
82,a,R-1108,2021-04-03 22:00,2021-04-04 06:10
82,b,R-1108,2021-04-04 06:10,2021-04-04 20:20
83,a,R-1107,2021-04-05 04:30,2021-04-05 12:30
83,b,R-1107,2021-04-05 12:30,2021-04-06 02:25
84,a,R-1108,2021-04-05 22:00,2021-04-06 06:01
84,b,R-1108,2021-04-06 06:01,2021-04-06 20:10
85,a,R-1107,2021-04-07 01:00,2021-04-07 08:51
85,b,R-1107,2021-04-07 08:51,2021-04-07 23:10
86,a,R-1108,2021-04-08 08:30,2021-04-08 16:21
86,b,R-1108,2021-04-08 16:21,2021-04-09 06:35
87,a,R-1107,2021-04-09 07:00,2021-04-09 15:16
87,b,R-1107,2021-04-09 15:16,2021-04-10 04:57
88,a,R-1108,2021-04-10 03:00,2021-04-10 10:52
88,b,R-1108,2021-04-10 10:52,2021-04-11 05:05
89,a,R-1107,2021-04-10 20:40,2021-04-11 04:40
89,b,R-1107,2021-04-11 04:40,2021-04-11 18:00
90,a,R-1108,2021-04-11 23:30,2021-04-12 07:37
