Time,7TBSP,7TBCV,7TA,7TBPV,7P,7S
1/1/2021 00:00:00.000,<null>,<null>,<null>,<null>,<null>,<null>
1/1/2021 01:19:13.150,19.13,<null>,20.49,19.13,<null>,<null>
1/1/2021 03:12:30.472,18.07,<null>,20.49,18.07,<null>,<null>
1/1/2021 03:12:34.490,18.07,<null>,15.87,18.07,<null>,<null>
1/1/2021 03:15:24.243,18.07,<null>,6.77,18.07,<null>,<null>
1/1/2021 03:20:54.724,18.07,<null>,7.8,18.07,<null>,<null>
1/1/2021 03:26:33.254,18.07,<null>,9.07,18.07,<null>,<null>
1/1/2021 03:32:19.829,18.07,<null>,10.13,18.07,<null>,<null>
1/1/2021 03:40:39.089,18.07,<null>,11.35,18.07,<null>,<null>
1/1/2021 03:46:25.708,18.07,<null>,14.23,18.07,<null>,<null>
1/1/2021 03:51:51.210,18.07,<null>,12.8,18.07,<null>,<null>
1/1/2021 03:57:45.713,18.07,<null>,11.66,18.07,<null>,<null>
1/1/2021 04:05:49.923,18.07,<null>,13.03,18.07,<null>,<null>
1/1/2021 04:11:56.598,18.07,<null>,14.37,18.07,<null>,<null>
1/1/2021 04:20:09.855,18.07,<null>,15.39,18.07,<null>,<null>
1/1/2021 04:34:37.757,18.07,<null>,17.28,18.07,<null>,<null>
1/1/2021 06:02:15.279,18.07,<null>,18.29,18.07,<null>,<null>
1/1/2021 06:50:01.694,19.1,<null>,18.29,19.1,<null>,<null>
1/1/2021 07:26:21.037,20.11,<null>,18.29,20.11,<null>,<null>
1/1/2021 09:28:54.456,19.1,<null>,18.29,19.1,<null>,<null>
1/1/2021 11:01:30.190,19.1,<null>,19.29,19.1,<null>,<null>
1/1/2021 12:26:49.159,20.12,<null>,19.29,20.12,<null>,<null>
1/1/2021 14:18:46.934,21.13,<null>,19.29,21.13,<null>,<null>
1/1/2021 14:31:48.588,21.13,<null>,20.31,21.13,<null>,<null>
1/1/2021 16:24:35.654,21.13,<null>,20.31,21.13,<null>,19.87
1/1/2021 16:25:15.830,21.13,<null>,20.31,21.13,<null>,80.09
1/1/2021 16:27:31.314,21.13,<null>,17.78,21.13,<null>,80.09
1/1/2021 16:33:29.045,20.08,<null>,17.78,20.08,<null>,80.09
1/1/2021 16:33:45.156,20.08,<null>,14.69,20.08,<null>,80.09
1/1/2021 16:48:07.776,20.08,<null>,16.23,20.08,<null>,80.09
